,apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature,malware
0,com.SPARKAPPSS.faketvwithoutinternet,3,0,0,0,1,1,11,5,4,3,0,True
1,com.ambon,3,0,0,0,0,1,8,2,2,2,0,False
2,com.msxf.app85091,5,0,0,0,0,1,3,6,10,3,0,True
3,appinventor.ai_khusnulbisnis77.SHAWNMENDES,3,0,0,0,0,1,25,7,6,5,0,False
4,com.gopastido.livewallpaper.lovelyrose,6,0,1,1,1,6,14,5,5,4,1,True
5,com.kaiji.wuair,7,0,3,3,0,12,5,10,13,7,0,True
6,com.app,1,0,0,0,0,1,1,1,2,0,0,False
7,bryug.ffghq.dkknh.dtekc,1,0,0,0,0,1,0,0,13,0,0,True
8,com.automotiontv,3,0,5,2,0,5,0,3,7,4,3,False
9,bmb.altict.com,4,0,0,0,0,1,7,2,6,3,0,False
10,com.a6264203325373616d641e30a,7,0,0,0,0,1,16,7,7,5,2,False
11,com.hrsfrf.chickJump,3,0,2,1,0,2,0,3,9,0,0,True
12,april.spguangz.xbl,1,0,0,0,0,1,0,6,6,3,0,False
13,appinventor.ai_ktthaigroup.sunaparadio,1,0,0,0,0,1,28,7,4,4,0,False
14,com.deepnote,4,0,0,0,0,1,8,4,3,2,0,False
15,appinventor.ai_mgalligan7,1,0,0,0,0,1,30,7,3,3,0,False
16,com.jinghua.zhengzhi,22,1,1,2,0,1,0,2,8,0,0,True
17,appinventor.ai_michael_pollock100.Decider6,1,0,0,0,0,1,30,8,4,3,0,True
18,com.TeenFashionIdeas.Bensol,3,0,0,0,0,1,4,2,2,2,0,True
19,com.roomdecor.ranimedia,3,0,0,0,0,1,4,2,2,2,0,True
20,com.frevid.fremus.frplayo,12,0,4,5,1,11,6,7,14,8,0,True
21,com,14,0,2,1,1,6,4,7,14,5,0,False
22,com.anadoluapps,3,0,0,0,0,1,15,4,2,2,0,False
23,com.quvn.szox,2,0,3,1,0,14,0,0,30,0,0,True
24,com.andromo.dev455873,5,0,0,0,0,1,5,3,2,2,1,False
25,appinventor.ai_mossoba_youssef.PartyPrizeDraws,4,0,0,0,0,1,30,7,5,3,0,False
26,believerism.com,2,0,1,1,0,1,13,10,5,3,0,False
27,com.aminod10,14,0,1,1,0,2,5,4,5,3,0,False
28,com,8,0,1,0,3,2,12,6,5,4,0,False
29,com.free.vipvideo,4,0,0,0,0,1,0,2,1,0,0,True
30,appinventor.ai_zaenal77hafid.SOULJABOYTELLEM,3,0,0,0,0,1,34,9,4,4,0,False
31,appinventor.ai_HelloApplications.SoulWinningScript,6,0,0,0,0,1,30,8,3,3,0,True
32,app.xunxun.homeclock,9,2,1,6,0,1,0,3,13,0,0,True
33,apps.infinite,6,0,0,0,0,1,15,4,2,2,0,False
34,com.blsm,12,1,6,4,4,10,7,8,21,8,0,False
35,airHorn,2,0,0,0,0,1,7,3,4,3,0,False
36,bright.view.land,4,0,2,2,0,4,0,3,11,1,0,True
37,com.kez.gyvftxvpq,19,1,12,7,0,30,2,10,17,7,0,True
38,com.ihandysoft.newinfomaeightba.shuipingyi,3,0,1,1,0,2,3,4,11,0,0,True
39,br.com.fxgames.restaum.free,4,0,0,0,0,1,15,4,3,3,0,False
40,com.geisha.lanamp3,3,0,0,0,0,1,8,2,2,2,0,True
41,com.livingroomdecor.Buldroids,3,0,0,0,0,1,4,2,2,2,0,True
42,com,13,0,1,37,0,3,5,3,4,3,0,False
43,appinventor.ai_annayya_chandrashekar.Annayya_Videos_Application,3,0,0,0,0,1,34,10,3,3,0,True
44,com.kcb.schedulessderCEA4A65D25A09F2E86AB1E08CD7225569BE3C751,6,0,1,1,0,2,0,1,7,0,0,True
45,com.conduit.app_edfb7ebde31f40ba99fbaeadfa748f94,5,0,1,1,0,3,9,6,17,7,2,False
46,com.clussy,2,0,4,9,0,11,3,6,5,2,3,False
47,com.icm.owavkf,12,0,7,17,0,22,0,0,42,0,0,True
48,com.Artideaof3Ddrawingwell.nikoapps,3,0,0,0,0,1,4,2,2,2,0,True
49,com.mxyun.mxyunapp,8,1,0,0,0,2,0,6,17,3,0,True
50,com.burin,31,1,9,21,11,33,0,13,33,10,0,False
51,an.CountRamadan,2,0,1,1,2,2,2,4,2,2,0,False
52,com.appspot.yovuapps,10,0,0,0,0,1,21,5,3,2,0,False
53,com.bysczh.spincube,3,0,1,1,0,2,0,1,12,0,0,True
54,com.newminisixliutw.doodlekids,10,0,1,4,0,3,0,2,11,0,0,True
55,com.habra.example.com,5,0,1,1,0,2,9,6,7,4,0,True
56,com.paolu.petharuning,3,0,0,4,0,1,7,6,7,4,0,True
57,com.allforkanjis,2,0,0,1,0,1,6,3,3,1,0,False
58,com.LuxuryDiamondJewelry.rajamora,3,0,0,0,0,1,4,2,2,2,0,True
59,appinventor.ai_tiovision_android,3,0,0,0,0,1,34,9,4,4,0,False
60,com.chy.batterydoctor,16,1,2,9,0,9,0,6,21,3,0,True
61,com.appninjas,12,0,0,0,0,1,1,6,7,5,5,False
62,com.andromo.dev465727,4,0,0,0,0,1,5,3,2,2,1,False
63,com.batikmen,2,0,0,0,0,1,8,2,2,2,0,False
64,com.bsoft,4,0,0,0,0,1,15,4,4,2,0,False
65,com.KumpulanLaguGlennfredly.madedroid,3,0,0,0,0,1,8,2,2,2,0,True
66,com.aws,11,0,6,2,0,9,12,8,9,6,0,False
67,com.qmtiku.categoryId_46,26,0,3,4,0,7,0,6,17,3,0,True
68,com.brcreativity,2,0,0,0,0,1,8,3,2,2,0,False
69,com.MyLogicGames.sudoku,2,0,0,0,0,1,7,3,4,3,0,False
70,app70251,31,1,3,7,0,2,4,5,8,4,0,False
