apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature
com.SPARKAPPSS.faketvwithoutinternet,3,0,0,0,1,1,11,5,4,3,0
com.ambon,3,0,0,0,0,1,8,2,2,2,0
com.msxf.app85091,5,0,0,0,0,1,3,6,10,3,0
appinventor.ai_khusnulbisnis77.SHAWNMENDES,3,0,0,0,0,1,25,7,6,5,0
com.gopastido.livewallpaper.lovelyrose,6,0,1,1,1,6,14,5,5,4,1
com.kaiji.wuair,7,0,3,3,0,12,5,10,13,7,0
com.app,1,0,0,0,0,1,1,1,2,0,0
bryug.ffghq.dkknh.dtekc,1,0,0,0,0,1,0,0,13,0,0
com.automotiontv,3,0,5,2,0,5,0,3,7,4,3
bmb.altict.com,4,0,0,0,0,1,7,2,6,3,0
com.a6264203325373616d641e30a,7,0,0,0,0,1,16,7,7,5,2
com.hrsfrf.chickJump,3,0,2,1,0,2,0,3,9,0,0
april.spguangz.xbl,1,0,0,0,0,1,0,6,6,3,0
appinventor.ai_ktthaigroup.sunaparadio,1,0,0,0,0,1,28,7,4,4,0
com.deepnote,4,0,0,0,0,1,8,4,3,2,0
appinventor.ai_mgalligan7,1,0,0,0,0,1,30,7,3,3,0
com.jinghua.zhengzhi,22,1,1,2,0,1,0,2,8,0,0
appinventor.ai_michael_pollock100.Decider6,1,0,0,0,0,1,30,8,4,3,0
com.TeenFashionIdeas.Bensol,3,0,0,0,0,1,4,2,2,2,0
com.roomdecor.ranimedia,3,0,0,0,0,1,4,2,2,2,0
com.frevid.fremus.frplayo,12,0,4,5,1,11,6,7,14,8,0
com,14,0,2,1,1,6,4,7,14,5,0
com.anadoluapps,3,0,0,0,0,1,15,4,2,2,0
com.quvn.szox,2,0,3,1,0,14,0,0,30,0,0
com.andromo.dev455873,5,0,0,0,0,1,5,3,2,2,1
appinventor.ai_mossoba_youssef.PartyPrizeDraws,4,0,0,0,0,1,30,7,5,3,0
believerism.com,2,0,1,1,0,1,13,10,5,3,0
com.aminod10,14,0,1,1,0,2,5,4,5,3,0
com,8,0,1,0,3,2,12,6,5,4,0
com.free.vipvideo,4,0,0,0,0,1,0,2,1,0,0
appinventor.ai_zaenal77hafid.SOULJABOYTELLEM,3,0,0,0,0,1,34,9,4,4,0
appinventor.ai_HelloApplications.SoulWinningScript,6,0,0,0,0,1,30,8,3,3,0
app.xunxun.homeclock,9,2,1,6,0,1,0,3,13,0,0
apps.infinite,6,0,0,0,0,1,15,4,2,2,0
com.blsm,12,1,6,4,4,10,7,8,21,8,0
airHorn,2,0,0,0,0,1,7,3,4,3,0
bright.view.land,4,0,2,2,0,4,0,3,11,1,0
com.kez.gyvftxvpq,19,1,12,7,0,30,2,10,17,7,0
com.ihandysoft.newinfomaeightba.shuipingyi,3,0,1,1,0,2,3,4,11,0,0
br.com.fxgames.restaum.free,4,0,0,0,0,1,15,4,3,3,0
com.geisha.lanamp3,3,0,0,0,0,1,8,2,2,2,0
com.livingroomdecor.Buldroids,3,0,0,0,0,1,4,2,2,2,0
com,13,0,1,37,0,3,5,3,4,3,0
appinventor.ai_annayya_chandrashekar.Annayya_Videos_Application,3,0,0,0,0,1,34,10,3,3,0
com.kcb.schedulessderCEA4A65D25A09F2E86AB1E08CD7225569BE3C751,6,0,1,1,0,2,0,1,7,0,0
com.conduit.app_edfb7ebde31f40ba99fbaeadfa748f94,5,0,1,1,0,3,9,6,17,7,2
com.clussy,2,0,4,9,0,11,3,6,5,2,3
com.icm.owavkf,12,0,7,17,0,22,0,0,42,0,0
com.Artideaof3Ddrawingwell.nikoapps,3,0,0,0,0,1,4,2,2,2,0
com.mxyun.mxyunapp,8,1,0,0,0,2,0,6,17,3,0
com.burin,31,1,9,21,11,33,0,13,33,10,0
an.CountRamadan,2,0,1,1,2,2,2,4,2,2,0
com.appspot.yovuapps,10,0,0,0,0,1,21,5,3,2,0
com.bysczh.spincube,3,0,1,1,0,2,0,1,12,0,0
